"indicator_code","unit","geo","time","value","year","month","day","frequency","estimate","db_source"
"spei01","spei","AL",1989-01-16,-1.90202653408051,"1989","01","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2005-06-16,-0.901641845703125,"2005","06","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2011-03-16,-0.187115624547005,"2011","03","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",1994-10-16,0.0347097255289555,"1994","10","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2013-02-15,1.38396310806274,"2013","02","15","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2016-12-16,-2.33719372749329,"2016","12","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2006-04-16,-0.101141698658466,"2006","04","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",1991-10-16,-0.373003721237183,"1991","10","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2012-01-16,-0.981427133083344,"2012","01","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",1995-08-16,2.26272177696228,"1995","08","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2001-05-16,-0.371430993080139,"2001","05","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2017-10-16,-1.36234533786774,"2017","10","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2007-02-15,0.218340203166008,"2007","02","15","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",1996-06-16,-0.941494047641754,"1996","06","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2012-11-16,-0.278097093105316,"2012","11","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2018-08-16,-0.0303213484585285,"2018","08","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2002-03-16,-0.567230761051178,"2002","03","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",1991-07-16,1.47292327880859,"1991","07","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2007-12-16,-0.694081425666809,"2007","12","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2013-09-16,-0.471228748559952,"2013","09","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",1999-03-16,0.620599746704102,"1999","03","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2015-08-16,0.719963371753693,"2015","08","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2003-01-16,1.63866138458252,"2003","01","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",2008-10-16,-1.2288236618042,"2008","10","16","M","M","SPEI_Global_Drought_Monitor"
"spei01","spei","AL",1994-04-16,1.15595483779907,"1994","04","16","M","M","SPEI_Global_Drought_Monitor"
